大学番号,大学名
010,愛知医科大学
330,慶應義塾大学
650,名古屋市立大学
020,愛知学院大学
030,秋田大学
340,高知大学
350,神戸大学
660,名古屋大学
670,奈良県立医科大学
040,旭川医科大学
360,埼玉医科大学
680,新潟大学
050,朝日大学
370,佐賀大学
060,岩手医科大学
380,札幌医科大学
070,愛媛大学
080,大分大学
090,奥羽大学
390,産業医科大学
400,滋賀医科大学
410,自治医科大学
100,大阪医科大学
420,島根大学
110,大阪歯科大学
430,順天堂大学
120,大阪市立大学
130,大阪大学
140,岡山大学
150,香川大学
160,鹿児島大学
440,昭和大学
450,信州大学
470,千葉大学
480,筑波大学
170,神奈川歯科大学
490,鶴見大学
180,金沢医科大学
190,金沢大学
500,帝京大学
510,東海大学
690,日本医科大学
700,日本歯科大学
710,日本大学
720,浜松医科大学
730,兵庫医科大学
740,弘前大学
750,広島大学
760,福井大学
770,福岡歯科大学
790,福島県立医科大学
800,藤田保健衛生大学
810,防衛医科大学校
820,北海道医療大学
830,北海道大学
460,聖マリアンナ医科大学
780,福岡大学
200,川崎医科大学
520,東京医科歯科大学
840,松本歯科大学
210,関西医科大学
530,東京医科大学
540,東京歯科大学
550,東京慈恵会医科大学
870,明海大学
850,三重大学
860,宮崎大学
220,北里大学
230,岐阜大学
240,九州歯科大学
560,東京女子医科大学
880,山形大学
250,九州大学
260,京都大学
570,東京大学
580,東邦大学
270,京都府立医科大学
590,東北大学
600,徳島大学
890,山口大学
900,山梨大学
910,横浜市立大学
920,琉球大学
280,杏林大学
290,近畿大学
300,熊本大学
310,久留米大学
320,群馬大学
610,獨協医科大学
930,和歌山県立医科大学
620,鳥取大学
630,富山大学
640,長崎大学
999,外国の大学
