XSD要素,届出項目（ラベル）,登場セクション,取りうるSTATUS,繰り返しグループ/順序番号型
RECEPTNUMINITNOTE,主たる被験薬の初回届出受付番号,4.1 様式等のバージョン情報 ; 4.2 治験届出共通事項,NONE,
PLANNUMSUBJTESTPRODUCT,予定被験者数（被験薬）,4.1 様式等のバージョン情報 ; 4.3 主たる被験薬に関する届出事項,NONE / UPDATE,
INFOFORMVERSION,様式等のバージョン情報,4.1 様式等のバージョン情報,NONE,
TESTSUBSTANCEIDCODE,主たる被験薬の治験成分記号,4.2 治験届出共通事項,NONE,
TYPECLINTRIALS,治験の種類,4.2 治験届出共通事項,NONE,
INITNOTEDATE,主たる被験薬の初回届出年月日,4.2 治験届出共通事項,NONE,
SERIALNOTENUM,主たる被験薬の届出回数,4.2 治験届出共通事項,NONE,
RECEPTNUMCLINTRIALPLANNOTE,当該治験計画届出受付番号,4.2 治験届出共通事項,NONE,
CLINTRIALPLANNOTEDATE,当該治験計画届出年月日,4.2 治験届出共通事項,NONE,
NOTEDATE,届出年月日,4.3 主たる被験薬に関する届出事項,NONE,
CLASSNOTE,届出分類,4.3 主たる被験薬に関する届出事項,NONE,
TIMESCHANGE,変更回数,4.3 主たる被験薬に関する届出事項,NONE,
CATEGORYNOTE,届出区分,4.3 主たる被験薬に関する届出事項,NONE,
TERMINATIONDATE,中止日年月日,4.3 主たる被験薬に関する届出事項,NONE,
REASONTERMINATION,中止理由,4.3 主たる被験薬に関する届出事項,NONE,
POSTTERMINATIONMEASURE,その後の対応状況,4.3 主たる被験薬に関する届出事項,NONE,
SERIALNO1,順序番号,4.3 主たる被験薬に関する届出事項 ; 4.4 治験使用薬等（主たる被験薬を除く） ; 4.5 実施医療機関ごとの事項 ; 4.6 参照する治験届出情報 ; 5.2 変更届：インスタンスの入力方法,NONE / APPEND / DELETE,繰り返し採番（親要素で型が決まる）
SPONSOR_NAME,(記入例にラベル明示なし),4.3 主たる被験薬に関する届出事項,NONE,
SPONSOR_ADDRESS1,所在地 1,4.3 主たる被験薬に関する届出事項,NONE,
SPONSOR_ADDRESS2,所在地 2,4.3 主たる被験薬に関する届出事項,NONE,
MANUFACTURERIMPORTERCODE,業者コード,4.3 主たる被験薬に関する届出事項,NONE,
INGREDIENTSQUANTITIES,成分及び分量,4.3 主たる被験薬に関する届出事項,NONE,
DOSAGEFORMCODE,剤形コード,4.3 主たる被験薬に関する届出事項,NONE,
MANUFACTMETHOD,主たる被験薬の製造方法,4.3 主たる被験薬に関する届出事項,NONE,
INTENDINDICATIONSEFFECTS,予定される効能又は効果,4.3 主たる被験薬に関する届出事項,NONE,
EFFICACYCLASSCODENUMBER,薬効分類番号,4.3 主たる被験薬に関する届出事項,NONE,
INTENDDOSAGEADMIN,予定される用法及び用量,4.3 主たる被験薬に関する届出事項,NONE,
ADMINROUTECODE,投与経路コード,4.3 主たる被験薬に関する届出事項,NONE,
PROTOCOLNUM,実施計画書識別記号,4.3 主たる被験薬に関する届出事項,NONE,
PHASECLINTRIAL,開発の相,4.3 主たる被験薬に関する届出事項,NONE,
TYPECLINTRIAL,試験の種類,4.3 主たる被験薬に関する届出事項,NONE,
TRIALOBJECTIVES,目的,4.3 主たる被験薬に関する届出事項,NONE,
PLANNUMSUBJECTSTOTAL,予定被験者数（合計）,4.3 主たる被験薬に関する届出事項,NONE / UPDATE,
TARGETDISEASE,主たる被験薬の対象疾患,4.3 主たる被験薬に関する届出事項,NONE,
DOSAGEADMIN,用法及び用量,4.3 主たる被験薬に関する届出事項,NONE,
STARTDATECLINTRIAL,開始日年月日,4.3 主たる被験薬に関する届出事項 ; 5.2 変更届：インスタンスの入力方法,NONE,
ENDDATECLINTRIAL,終了日年月日,4.3 主たる被験薬に関する届出事項 ; 5.2 変更届：インスタンスの入力方法,NONE / UPDATE,
REASONONEROUS,有償の理由等,4.3 主たる被験薬に関する届出事項,NONE,
CHARGEOUTPERSONNAME,費用負担者氏名,4.3 主たる被験薬に関する届出事項,NONE,
VALIDITYREASONS,妥当性,4.3 主たる被験薬に関する届出事項,NONE,
KEYINVEST_NAME,治験調整医師の氏名,4.3 主たる被験薬に関する届出事項,NONE,
NAMEMEDICALINSTITUT,治験調整医師の所属機関,4.3 主たる被験薬に関する届出事項,NONE,
KEYINVEST_AFFILIATION,治験調整医師の所属,4.3 主たる被験薬に関する届出事項,NONE,
CRO_NAME,氏名,4.3 主たる被験薬に関する届出事項,NONE,
CRO_ADDRESS1,住所 1,4.3 主たる被験薬に関する届出事項,NONE,
CRO_ADDRESS2,住所 2,4.3 主たる被験薬に関する届出事項,NONE,
CRO_SERVICES,委託する業務の範囲,4.3 主たる被験薬に関する届出事項,NONE,
TYPECLINTRIALWITHDRUGCARTAGENA,該当の有無等,4.3 主たる被験薬に関する届出事項 ; 4.4 治験使用薬等（主たる被験薬を除く）,NONE,
DETAIL,該当する場合の詳述 / 内容 / その他の場合の詳述,4.3 主たる被験薬に関する届出事項 ; 4.4 治験使用薬等（主たる被験薬を除く）,NONE,
TYPEBIOLOGICALPROD,該当の有無等,4.3 主たる被験薬に関する届出事項 ; 4.4 治験使用薬等（主たる被験薬を除く）,NONE,
APPLICABLEORNOT,該当の有無 / 該当の有無等,4.3 主たる被験薬に関する届出事項 ; 4.4 治験使用薬等（主たる被験薬を除く）,NONE,
OTHERCOMMENTS_PRIMARY,その他,4.3 主たる被験薬に関する届出事項,NONE,
TYPEEXPANDEDACCESSPROG,該当の有無等,4.3 主たる被験薬に関する届出事項,NONE,
CONTENTS,内容 / 参照の詳細,4.3 主たる被験薬に関する届出事項 ; 4.6 参照する治験届出情報,NONE,
NAMEDOC,資料名,4.3 主たる被験薬に関する届出事項,NONE,
REMARK,備考,4.3 主たる被験薬に関する届出事項,NONE,
CLASSPERSONFILLNOTE,治験届出者の種別,4.3 主たる被験薬に関する届出事項,NONE,
APPLICAT_NAME,担当者の氏名 / 届出者の名称,4.3 主たる被験薬に関する届出事項,NONE,
APPLICAT_REP_NAME,届出者の(代表者の)氏名,4.3 主たる被験薬に関する届出事項,NONE,
APPLICAT_ADDRESS1,所在地 1,4.3 主たる被験薬に関する届出事項,NONE,
APPLICAT_ADDRESS2,所在地 2,4.3 主たる被験薬に関する届出事項,NONE,
MUNUFACTURERIMPORTERCODE,業者コード,4.3 主たる被験薬に関する届出事項,NONE,
APPLICAT_PERSON_NAME,担当者の氏名,4.3 主たる被験薬に関する届出事項,NONE,
APPLICAT_PERSON_TITLE,担当者の所属,4.3 主たる被験薬に関する届出事項,NONE,
APPLICAT_TELNUM,電話番号,4.3 主たる被験薬に関する届出事項,NONE,
FAXNUMBER,ＦＡＸ番号又はメールアドレス,4.3 主たる被験薬に関する届出事項,NONE,
FOREIGN_SPONSOR_NAME,海外依頼者、外国製造業者の名称（邦文）,4.3 主たる被験薬に関する届出事項,NONE,
FOREIGN_SPONSOR_REP_NAME,海外依頼者、外国製造業者の(代表者の)氏名（邦文）,4.3 主たる被験薬に関する届出事項,NONE,
FOREIGN_SPONSOR_ADDRESS1,所在地１（邦文）,4.3 主たる被験薬に関する届出事項,NONE,
FOREIGN_SPONSOR_ADDRESS2,所在地２（邦文）,4.3 主たる被験薬に関する届出事項,NONE,
FOREIGN_NAME_FRGNLNG,海外依頼者、外国製造業者の名称（外国文）,4.3 主たる被験薬に関する届出事項,NONE,
FOREIGN_SPONSOR_REP_NAME_FRGNLNG,(記入例にラベル明示なし),4.3 主たる被験薬に関する届出事項,NONE,
FOREIGN_ADDRESS1_FRGNLNG,(記入例にラベル明示なし),4.3 主たる被験薬に関する届出事項,NONE,
FOREIGN_ADDRESS2_FRGNLNG,所在地 2（外国文）,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_PRODUCTCATEGORY,医薬品／医療機器／再生医療等製品の別,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMBINATION_ID,記号・名称等,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
TYPECOMBINATION_ID,記号・名称等の種類,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMBINATIONCATEGORY,被験薬／対照薬／併用薬／レスキュー薬などの区別,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_APPLICATIONSTATUS,国内における承認状況,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
SERIALNO2,順序番号,4.4 治験使用薬等（主たる被験薬を除く） ; 4.5 実施医療機関ごとの事項 ; 5.2 変更届：インスタンスの入力方法,NONE / APPEND / DELETE,繰り返し採番（親要素で型が決まる）
COMB_SPONSOR_NAME,名称,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_SPONSOR_ADDRESS1,(記入例にラベル明示なし),4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_SPONSOR_ADDRESS2,所在地２,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_MANUFACTURERIMPORTERCODE,業者コード,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_INGREDIENTSQUANTITIES,成分及び分量,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_DOSAGEFORMCODE,剤形コード,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_MANUFACTMETHOD,製造方法,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_INTENDINDICATIONSEFFECTS,予定される効能又は効果,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_EFFICACYCLASSCODENUMBER,薬効分類番号,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_INTENDDOSAGEADMIN,予定される用法及び用量,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_ADMINROUTECODE,投与経路コード,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_TARGETDISEASE,対象疾患,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_DOSAGEADMIN,用法及び用量,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
OTHERCOMMENTS,その他,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_FOREIGN_SPONSOR_NAME,海外依頼者、外国製造業者の名称（邦文）,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_FOREIGN_SPONSOR_REP_NAME,(記入例にラベル明示なし),4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_FOREIGN_SPONSOR_ADDRESS1,所在地１（邦文）,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_FOREIGN_SPONSOR_ADDRESS2,所在地２（邦文）,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_FOREIGN_NAME_FRGNLNG,海外依頼者、外国製造業者の名称（外国文）,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_FOREIGN_SPOMSPR_REP_NAME_FRGNLNG,(記入例にラベル明示なし),4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_FOREIGN_ADDRESS1_FRGNLNG,所在地１（外国文）,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_FOREIGN_ADDRESS2_FRGNLNG,所在地２（外国文）,4.4 治験使用薬等（主たる被験薬を除く）,NONE,
COMB_REMARKS,その他備考,4.5 実施医療機関ごとの事項,NONE,
COMB_PRESENCEADRREPORT,副作用報告の有無,4.5 実施医療機関ごとの事項,NONE,
INSTITUTE_NAME,実施医療機関の名称,4.5 実施医療機関ごとの事項,NONE,
DEPARTMENT,(記入例にラベル明示なし),4.5 実施医療機関ごとの事項,NONE,
INSTITUTE_ADDRESS1,所在地１,4.5 実施医療機関ごとの事項,NONE,
INSTITUTE_ADDRESS2,所在地２,4.5 実施医療機関ごとの事項,NONE,
