テーブル(型),親テーブル,区分,XSD要素,ラベル,想定データ型,必須,STATUS方式
__ROOT__,,親(届),INFOFORMVERSION,様式等のバージョン情報,テキスト,必須,UPDATE型
__ROOT__,,親(届),TESTSUBSTANCEIDCODE,主たる被験薬の治験成分記号,選択肢(コード表),必須,UPDATE型
__ROOT__,,親(届),TYPECLINTRIALS,治験の種類,テキスト,必須,UPDATE型
__ROOT__,,親(届),RECEPTNUMINITNOTE,主たる被験薬の初回届出受付番号,整数/番号,必須,UPDATE型
__ROOT__,,親(届),INITNOTEDATE,主たる被験薬の初回届出年月日,日付(TZ非依存),必須,UPDATE型
__ROOT__,,親(届),SERIALNOTENUM,主たる被験薬の届出回数,順序番号(キー),,UPDATE型
__ROOT__,,親(届),RECEPTNUMCLINTRIALPLANNOTE,当該治験計画届出受付番号,整数/番号,,UPDATE型
__ROOT__,,親(届),CLINTRIALPLANNOTEDATE,当該治験計画届出年月日,日付(TZ非依存),,UPDATE型
__ROOT__,,親(届),NOTEDATE,届出年月日,日付(TZ非依存),必須,UPDATE型
__ROOT__,,親(届),CLASSNOTE,届出分類,テキスト,必須,UPDATE型
__ROOT__,,親(届),TIMESCHANGE,変更回数,整数/番号,,UPDATE型
__ROOT__,,親(届),CATEGORYNOTE,届出区分,テキスト,必須,UPDATE型
__ROOT__,,親(届),CATEGTESTPRODUCTSUBJ30DAYREVIEW,主たる被験薬の30日調査対応被験薬区分,テキスト,,UPDATE型(値なし)
__ROOT__,,親(届),MANUFACTMETHOD,主たる被験薬の製造方法,テキスト(複数行),,UPDATE型
__ROOT__,,親(届),PROTOCOLNUM,実施計画書識別記号,整数/番号,必須,UPDATE型
__ROOT__,,親(届),PHASECLINTRIAL,開発の相,テキスト,必須,UPDATE型
__ROOT__,,親(届),TYPECLINTRIAL,試験の種類,テキスト,必須,UPDATE型
__ROOT__,,親(届),TRIALOBJECTIVES,目的,テキスト(複数行),必須,UPDATE型
__ROOT__,,親(届),TARGETDISEASE,主たる被験薬の対象疾患,テキスト,必須,UPDATE型
__ROOT__,,親(届),REASONONEROUS,有償の理由等,テキスト(複数行),必須,UPDATE型
__ROOT__,,親(届),OTHERCOMMENTS_PRIMARY,その他,テキスト,,UPDATE型
__ROOT__,,親(届),OTHERCOMMENTS_PROTOCOL,その他,テキスト,,UPDATE型
__ROOT__,,親(届),TERMINATIONDATE,中止日年月日,日付(TZ非依存),必須,UPDATE型
__ROOT__,,親(届),REASONTERMINATION,中止理由,テキスト(複数行),必須,UPDATE型
__ROOT__,,親(届),POSTTERMINATIONMEASURE,その後の対応状況,テキスト,,UPDATE型
__ROOT__,,親(届),INGREDIENTSQUANTITIES,成分及び分量,整数/番号,必須,UPDATE型
__ROOT__,,親(届),INTENDINDICATIONSEFFECTS,予定される効能又は効果,テキスト,必須,UPDATE型
__ROOT__,,親(届),EFFICACYCLASSCODENUMBER,薬効分類番号,選択肢(コード表),必須,UPDATE型
__ROOT__,,親(届),INTENDDOSAGEADMIN,予定される用法及び用量,テキスト(複数行),必須,UPDATE型
__ROOT__,,親(届),PLANNUMSUBJTESTPRODUCT,予定被験者数（被験薬）,整数/番号,必須,UPDATE型
__ROOT__,,親(届),PLANNUMSUBJECTSTOTAL,予定被験者数（合計）,整数/番号,必須,UPDATE型
__ROOT__,,親(届),DOSAGEADMIN,用法及び用量,テキスト(複数行),必須,UPDATE型
__ROOT__,,親(届),STARTDATECLINTRIAL,開始日年月日,日付(TZ非依存),必須,UPDATE型
__ROOT__,,親(届),ENDDATECLINTRIAL,終了日年月日,日付(TZ非依存),必須,UPDATE型
__ROOT__,,親(届),TYPECLINTRIALWITHDRUGCARTAGENA,該当の有無等,二者択一,必須,UPDATE型
__ROOT__,,親(届),DETAIL,その他の場合の詳述,テキスト,,UPDATE型
__ROOT__,,親(届),TYPEBIOLOGICALPROD,該当の有無等,二者択一,必須,UPDATE型
__ROOT__,,親(届),APPLICABLEORNOT,該当の有無,二者択一,必須,UPDATE型
__ROOT__,,親(届),APPLICABLEORNOT,該当の有無,二者択一,必須,UPDATE型
__ROOT__,,親(届),TYPEEXPANDEDACCESSPROG,該当の有無等,二者択一,必須,UPDATE型
__ROOT__,,親(届),APPLICABLEORNOT,該当の有無,二者択一,必須,UPDATE型
__ROOT__,,親(届),CONTENTS,参照の詳細,テキスト,,UPDATE型
__ROOT__,,親(届),APPLICABLEORNOT,該当の有無,二者択一,必須,UPDATE型
__ROOT__,,親(届),APPLICABLEORNOT,該当の有無,二者択一,必須,UPDATE型
__ROOT__,,親(届),REMARK,備考,テキスト,必須,UPDATE型
__ROOT__,,親(届),FOOTNOTE,脚注,テキスト,必須,UPDATE型
INFONAMEADDRESSMANUFACTPLANT_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
INFONAMEADDRESSMANUFACTPLANT_TYPE,治験届 ctn_notification,子/孫,SPONSOR_NAME,名称,テキスト,必須,UPDATE型
INFONAMEADDRESSMANUFACTPLANT_TYPE,治験届 ctn_notification,子/孫,SPONSOR_ADDRESS1,所在地１,テキスト,必須,UPDATE型
INFONAMEADDRESSMANUFACTPLANT_TYPE,治験届 ctn_notification,子/孫,SPONSOR_ADDRESS2,所在地２,テキスト,必須,UPDATE型
INFONAMEADDRESSMANUFACTPLANT_TYPE,治験届 ctn_notification,子/孫,MANUFACTURERIMPORTERCODE,業者コード,選択肢(コード表),必須,UPDATE型
INFODOSAGEFORMCODE_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
INFODOSAGEFORMCODE_TYPE,治験届 ctn_notification,子/孫,DOSAGEFORMCODE,剤形コード,選択肢(コード表),必須,UPDATE型
INFOADMINROUTECODE_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
INFOADMINROUTECODE_TYPE,治験届 ctn_notification,子/孫,ADMINROUTECODE,投与経路コード,選択肢(コード表),必須,UPDATE型
CHARGEOUTPERSONCLINTRIAL_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
CHARGEOUTPERSONCLINTRIAL_TYPE,治験届 ctn_notification,子/孫,CHARGEOUTPERSONNAME,費用負担者氏名,テキスト,必須,UPDATE型
CHARGEOUTPERSONCLINTRIAL_TYPE,治験届 ctn_notification,子/孫,VALIDITYREASONS,妥当性,テキスト(複数行),必須,UPDATE型
INFOCOORDINVESTIGATOR_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
INFOCOORDINVESTIGATOR_TYPE,治験届 ctn_notification,子/孫,KEYINVEST_NAME,治験調整医師の氏名,テキスト,必須,UPDATE型
INFOCOORDINVESTIGATOR_TYPE,治験届 ctn_notification,子/孫,NAMEMEDICALINSTITUT,治験調整医師の所属機関,テキスト,必須,UPDATE型
INFOCOORDINVESTIGATOR_TYPE,治験届 ctn_notification,子/孫,KEYINVEST_AFFILIATION,治験調整医師の所属,テキスト,必須,UPDATE型
INFOCRO_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
INFOCRO_TYPE,治験届 ctn_notification,子/孫,CRO_NAME,氏名,テキスト,必須,UPDATE型
INFOCRO_TYPE,治験届 ctn_notification,子/孫,CRO_ADDRESS1,住所１,テキスト,必須,UPDATE型
INFOCRO_TYPE,治験届 ctn_notification,子/孫,CRO_ADDRESS2,住所２,テキスト,必須,UPDATE型
INFOCRO_TYPE,治験届 ctn_notification,子/孫,CRO_SERVICE,委託する業務の範囲,テキスト,必須,UPDATE型
INFOCOMBEQUIPMENT_TYPE,治験届 ctn_notification,子/孫,APPLICABLEORNOT,該当の有無,二者択一,必須,UPDATE型
INFOCOMBEQUIPMENT_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
INFOCOMBEQUIPMENT_TYPE,治験届 ctn_notification,子/孫,CONTENTS,参照の詳細,テキスト,必須,UPDATE型
REMARKS_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
REMARKS_TYPE,治験届 ctn_notification,子/孫,DETAIL,その他の場合の詳述,テキスト,必須,UPDATE型
INFONAMEDOCUMENTS_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
INFONAMEDOCUMENTS_TYPE,治験届 ctn_notification,子/孫,NAMEDOC,資料名,テキスト,必須,UPDATE型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,SERIALNO1,順序番号,順序番号(キー),必須,ADD型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,CLASSPERSONFILLNOTE,治験届出者の種別,テキスト,必須,UPDATE型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,APPLICAT_NAME,届出者の名称,テキスト,必須,UPDATE型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,APPLICAT_REP_NAME,届出者の(代表者の)氏名,テキスト,必須,UPDATE型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,APPLICAT_ADDRESS1,所在地１,テキスト,必須,UPDATE型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,APPLICAT_ADDRESS2,所在地２,テキスト,必須,UPDATE型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,MANUFACTURERIMPORTERCODE,業者コード,選択肢(コード表),必須,UPDATE型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,APPLICAT_PERSON_NAME,担当者の氏名,テキスト,必須,UPDATE型
INFOPERSONFILLNOTE_TYPE,治験届 ctn_notification,子/孫,APPLICAT_PERSON_TITLE,担当者の所属,テキスト,必須,UPDATE型
